species,n_cohorts,pooled_effect,pooled_se,z_score,p_value,Q_statistic,Q_pvalue,I2_heterogeneity,min_effect,max_effect,p_adjusted,significant
s__Aeromonas_media,5,-1.9011688359732788,0.10187868115508075,-18.661105683919292,0.0,74.70736360284228,2.3314683517128287e-15,94.64577545358887,-2.1425439240811763,3.471549679699019,0.0,True
g__Sphingorhabdus,5,-1.8211690193879981,0.10669586352950619,-17.068787478198377,0.0,93.35841675614614,0.0,95.71543719464731,-3.462913748271565,7.269128324498973,0.0,True
s__GGB41936_SGB59041,5,-1.267221084016281,0.07978385691708278,-15.883176534487042,0.0,57.581418376084194,9.341860618405917e-12,93.0533145712483,-1.5777047091880045,4.024685800462429,0.0,True
p__Ignavibacteriae,5,-0.9583840982140026,0.11225404242918653,-8.537635504918072,0.0,70.70455067759993,1.609823385706477e-14,94.34265551274163,-4.155478862719903,5.316495234368004,0.0,True
p__Planctomycetota,5,-1.9605530120693353,0.10684326105694418,-18.349805057189528,0.0,57.28893568645938,1.075994848775963e-11,93.01784899288079,-2.1461771026923757,5.74852775000411,0.0,True
p__Spirochaetes,5,-1.2638247859972338,0.09802638124357867,-12.892700617569947,0.0,30.691299068952755,3.538924268187138e-06,86.96699025018987,-1.4124840958539393,3.1898937305579373,0.0,True
p__Verrucomicrobia,5,-3.7167398356982706,0.10613426423177359,-35.01922647319379,0.0,145.47965698785802,0.0,97.25047468297657,-4.0866587691871255,2.5010928250939957,0.0,True
g__Rhodoferax,5,-1.1517456298060376,0.10604350099851298,-10.861067570960225,0.0,29.21239965611226,7.07791229115351e-06,86.30718445903824,-2.2083695094466944,1.6206667873732,0.0,True
g__Simplicispira,5,-1.1234056920412385,0.10268011840184134,-10.94082972951746,0.0,43.75711851835405,7.205947838428983e-09,90.85863024019237,-2.9887630588890675,2.6494187575544665,0.0,True
g__Rickettsiella,5,-0.9197005217187239,0.10163595274990006,-9.048968370295798,0.0,70.38309837595273,1.887379141862766e-14,94.3168174003453,-3.490401401202823,2.1865641434779146,0.0,True
g__Segatella,5,-1.1434835457366495,0.09650434770100821,-11.849036576874381,0.0,34.504237155574195,5.872369605031125e-07,88.40722088141052,-1.3046658233978237,2.128544365474369,0.0,True
g__Polynucleobacter,5,-4.578312307739239,0.10655879600950639,-42.96512797808635,0.0,237.46584643433255,0.0,98.31554724181942,-7.39438266755001,5.322547015129016,0.0,True
g__Prevotella,5,-0.9323723524691766,0.10114524629965506,-9.218152968918682,0.0,28.41137128969779,1.0293311615616751e-05,85.92113010240222,-1.129053104431517,1.797009368354329,0.0,True
g__Pseudomonas,5,-1.6354236844173373,0.1039364142850112,-15.734848038270105,0.0,112.74295420794968,0.0,96.45210645037545,-1.8850273954496912,5.973142127545098,0.0,True
g__Limnohabitans,5,-3.9478335977252597,0.10505127256098941,-37.58006449120617,0.0,267.035421422275,0.0,98.50207138113164,-7.624214701802821,7.197207591438637,0.0,True
s__GGB23780_SGB65296,5,-0.8275958595152827,0.07958898438852169,-10.398371908796948,0.0,56.173226893451194,1.84430248850731e-11,92.87916998682103,-3.263006690008895,3.755588411362535,0.0,True
