sample_alias,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cohort
Chu_2017_sludge.BF1,24.098990612258593,2.905083809750849,4.632012496428732,0.8873151449773078,12.303757225696058,-6.2779005049080165,-3.404151803781374,-3.8673747955825006,-2.355366667401322,1.1058317312455108,Chu_2017_sludge
Chu_2017_sludge.BF2,24.559976735401726,2.8644912603578976,4.709027518589187,1.0045194688802919,10.968904206630011,-6.563815006044145,-1.7469158700386518,-4.227825689896618,-4.142763295919216,2.249168807319184,Chu_2017_sludge
Chu_2017_sludge.BF3,23.93636610276517,4.190665615999642,6.284646210799439,1.9388956435668345,10.388431846525672,-7.387514987894485,-3.7264383742151255,-3.6720758034598027,-5.149757303031251,3.4293564257637486,Chu_2017_sludge
Chu_2017_sludge.BFP,23.23147808376991,-1.9702735318838378,-6.402471457858852,-4.064301824555752,1.8643446993646355,-6.5380985864209755,-2.4011351847321354,0.27748533543321846,1.3214795021467176,1.3954539093392473,Chu_2017_sludge
Chu_2017_sludge.E1,-3.65735322361562,13.34645540448357,-4.967656758472242,-2.5744019925260737,9.91888005771416,0.3758746084568173,-0.7682108374251789,10.008449913080456,-7.150694119150855,-4.156043820939972,Chu_2017_sludge
Chu_2017_sludge.E2,-4.015326809252101,13.816977730559465,-5.399811215459632,-4.096404133640305,9.062267452997894,-0.14007203629114984,-1.194914922434161,10.095051202048774,-7.610568972191508,-4.089747275514165,Chu_2017_sludge
Chu_2017_sludge.E3,-2.561691191012687,15.16726296488672,-5.029929760753375,-4.863121104952354,8.618471243396167,-0.20712245942053575,-0.3338300439410524,10.85371769250659,-7.9080514879323704,-4.085851350170385,Chu_2017_sludge
Chu_2017_sludge.E_P,6.532796425331724,19.163684803183894,-9.341261229834489,-2.153839618890309,-3.211460595278642,-1.384934689405127,-7.963278658600503,-1.5173899777871145,-0.3160799235219251,-1.177291199366257,Chu_2017_sludge
Chu_2017_sludge.FS1,-7.4587598984732475,10.608869815963343,-14.56077558881497,-7.324926445572446,4.583935445992777,2.1031357853688264,-4.9781888200869275,-5.646166820133281,0.15855148995918422,-5.836417923849461,Chu_2017_sludge
Chu_2017_sludge.FS2,3.752395998546911,7.28726438695448,-22.07561434010081,-13.741977842199482,-8.459793533939663,-1.7037125654828673,-1.4383970628048153,-2.057994044271621,3.204062102248243,0.8785723348864856,Chu_2017_sludge
Chu_2017_sludge.FS3,-7.990114451756957,9.681077441077804,-13.2853299677708,-6.678527048017549,4.003445520828658,2.9830034518653883,-5.380393721243811,-6.102917168278248,0.15016248742016253,-7.111605871499458,Chu_2017_sludge
Chu_2017_sludge.LMS11,-3.659235566863688,-7.965150431740253,3.1789419555650538,-2.145646167610198,0.11269675610477574,-1.553242892392293,0.20362455228209148,-0.31662053662877426,1.9014835070067826,0.05982710996900151,Chu_2017_sludge
Chu_2017_sludge.LMS18,-4.011161372909348,-7.787199488494678,3.1024117590237523,-2.244390738791019,0.2832785283701617,-1.0426512969909616,0.15071502193067296,-0.33364541157653527,1.7235960159689119,0.500739028718005,Chu_2017_sludge
Chu_2017_sludge.LMS41,-3.9497216903826105,-7.680762434196052,3.155038911977664,-2.324062449961711,0.29181588931162183,-1.1645984979888198,0.05230351205452203,-0.1103294756441086,1.4882507260420585,0.4356223218461614,Chu_2017_sludge
Chu_2017_sludge.M1,-5.813992839212397,-7.025876818596708,1.853009742274295,-2.941685570217442,1.212885120258213,3.7091023453091427,-0.2976347119096216,0.17023374906199104,0.5170488559254465,3.4320964676694476,Chu_2017_sludge
Chu_2017_sludge.M10,-4.699170458051727,-8.257148849132069,3.0129652917404903,-2.3521735278875266,0.6798379974699529,0.863715541335477,-0.117183369222932,0.07484604001566723,1.688000075638278,2.3639461636828156,Chu_2017_sludge
Chu_2017_sludge.M11,-6.74227183706533,-7.6777448825582555,2.1724921674771447,-2.355052150218281,1.0292041597869592,3.639458746656934,-0.6682397306677681,0.585538189033572,0.7535676647418865,4.770934996751634,Chu_2017_sludge
Chu_2017_sludge.M12,-5.912358214479401,-8.2928412113387,2.6087036428001094,-1.9808303041125757,0.7273986063218081,2.719859111998403,-0.44917569430685195,0.2898555799897799,1.409813407803143,5.07261985667068,Chu_2017_sludge
Chu_2017_sludge.M13,-6.783067931546304,-8.067751242533824,2.272273977260431,-2.562449959198771,0.9800478928487196,3.609459851791865,-0.3074399751889975,0.8597333876441036,0.7358757335821167,4.253557653615009,Chu_2017_sludge
Chu_2017_sludge.M14,-6.386281341001297,-8.174222994659589,2.584368922111437,-2.1091031454269813,0.8678527152510146,3.2504464344496946,-0.5229130887304286,0.2455467383502701,1.2343328917708123,5.539032278022991,Chu_2017_sludge
Chu_2017_sludge.M3,-7.9338718015423275,-8.302323066536037,3.0363850885136414,-2.097046290718432,0.4697571406614043,1.5151054082186246,-0.7414728066801993,0.06802629451847071,0.4244941972451991,4.307354125989322,Chu_2017_sludge
Chu_2017_sludge.M4,-5.7581568868650255,-7.108710497620984,1.810556504959377,-1.5249048814923132,1.14035550356385,1.5428892786097348,-0.8257398838617449,0.008168229575044523,1.4627900502395124,4.6029123822461955,Chu_2017_sludge
Chu_2017_sludge.M5,-5.68251680263557,-7.362072716327764,1.9018935276820703,-1.8806188694782358,1.2459461476947864,2.1717327049629436,-0.6621386736107553,0.20029028964707088,1.2964368152478405,4.283029850133263,Chu_2017_sludge
