species,f_statistic,p_value,effect_size,n_samples,p_adjusted,significant
s__alpha_proteobacterium_SCGC_AAA028_D10,30.071948225452374,2.851214961303529e-13,10.19055576096189,60,4.013219549306478e-12,True
s__Candidatus_Planktophila_lacus,29.919488848370356,3.1332448554664336e-13,10.515337268796769,60,4.328519744773999e-12,True
s__Limnohabitans_sp_T6_20,28.56257868451938,7.359704753233036e-13,9.194617116534463,60,9.9824359016579e-12,True
s__Flavobacterium_sp_GENT5,27.376711627445147,1.5870974654884914e-12,13.74460829674428,60,2.114240552240026e-11,True
s__Pseudomonas_aeruginosa,26.608904585186053,2.6407532844315678e-12,9.571549443555606,60,3.456143772256052e-11,True
s__Dechloromonas_denitrificans,26.246928428913048,3.368206842025e-12,7.255307126704623,60,4.3322108692252586e-11,True
s__Limnohabitans_sp_Hippo3,26.059583656925753,3.8234528685992165e-12,10.865779796639318,60,4.834399728771213e-11,True
s__Polynucleobacter_yangtzensis,25.739852746452254,4.753383243570082e-12,13.066505018579894,60,5.910039832838802e-11,True
s__GGB26613_SGB38793,24.67104552629431,9.966574440056682e-12,8.82616158339027,60,1.2023507414297794e-10,True
s__Polynucleobacter_asymbioticus,24.667312752311027,9.992727341641597e-12,10.8617349490957,60,1.2023507414297794e-10,True
s__actinobacterium_SCGC_AAA028_A23,23.28454958634296,2.6843683956029378e-11,9.731922119205263,60,3.1786330525710977e-10,True
s__Limnohabitans_sp_MMS_10A_160,22.553996982673517,4.590743863079668e-11,10.0594469006866,60,5.351085815402238e-10,True
s__Rhodoluna_lacicola,22.18635426908604,6.037794596565526e-11,8.387409020011944,60,6.929530413904434e-10,True
s__GGB23686_SGB82209,22.051805302420576,6.679162110875521e-11,9.540655448352677,60,7.549477173807785e-10,True
s__Pseudomonas_sp_DG56_2,20.1053300805421,3.001979456180005e-10,8.711083359463329,60,3.342502498970573e-09,True
s__Sphingorhabdus_lacus,19.939021263790412,3.4263915362392604e-10,9.637364114917945,60,3.758953067697777e-09,True
s__GGB57281_SGB78792,19.91090473887909,3.5040718119738683e-10,10.90589004722201,60,3.7884602488876894e-09,True
s__Limnohabitans_curvus,19.27871206510399,5.828676658944843e-10,9.056103775736904,60,6.211703982246932e-09,True
s__Brucella_anthropi,19.242778715345345,6.001402537490592e-10,9.148026841569036,60,6.305699004180255e-09,True
s__GGB69498_SGB93685,19.058591327074566,6.973820403495954e-10,10.699058609899978,60,7.22565280695553e-09,True
s__Stenotrophomonas_maltophilia,18.718604425360862,9.221064256179834e-10,8.983927206344836,60,9.423169774123501e-09,True
s__Candidatus_Nanopelagicus_SGB64093,18.449239331212393,1.1528123594208224e-09,10.72951281083051,60,1.1621594866593697e-08,True
s__Limnohabitans_sp_Jir61,18.10084260938209,1.542927347678129e-09,8.19658716002555,60,1.5346984018238456e-08,True
s__Polynucleobacter_necessarius,17.43465293597539,2.7171957045660357e-09,8.460206895999166,60,2.6671420994819245e-08,True
s__Escherichia_coli,17.030918124470404,3.850473615656524e-09,9.832270975258934,60,3.7304588536100873e-08,True
s__Deefgea_tanakiae,16.725716572469317,5.025935684672036e-09,6.975354492072214,60,4.80685643687864e-08,True
s__Flavobacterium_sp_HXWNR29,15.99774633353212,9.587174276767801e-09,8.59720687145541,60,6.413026829122935e-08,True
s__Azonexus_hydrophilus,15.716648167782026,1.2351907722850284e-08,8.398132813632428,60,6.413026829122935e-08,True
s__Sphaerospermopsis_aphanizomenoides,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Pseudarthrobacter_sp_NIBRBAC000502770,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Rickettsia_conorii,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Rickettsia_akari,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Arthrobacter_sp_162MFSha1_1,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Acidobacteriaceae_bacterium_KBS_83,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Arthrobacter_humicola,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__Leptonema_illini,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB90602_SGB127226,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
s__GGB90602_SGB127229,15.706584141958851,1.2464998528456074e-08,2.4315841546348835,60,6.413026829122935e-08,True
