sample_alias,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cohort
Chopyk_2020_pond.sample_MA07_10-24,12.423817113094675,-3.5882725027551614,1.0684847491009,-2.5281262876241954,-1.0534773777549569,2.8425393926823967,2.296268439312468,3.3861119095602703,-7.5069703988855405,-3.0808669245514717,Chopyk_2020_pond
Chopyk_2020_pond.sample_CONSERVE.1.MD10.MarchA,8.920164029949492,-4.915755507087573,-1.0259549814688962,-2.86106593601299,-0.4985234971524887,3.2660015458442246,-0.08107556794598991,0.13988329993898027,-1.9282810973482545,-0.09042379722063724,Chopyk_2020_pond
Chopyk_2020_pond.sample_MA05_8.8.17,9.13622854340567,-9.683215204738884,-5.582282326626157,-9.531177332293158,-3.255522232422445,18.83077820339661,2.683233910528079,-7.30308202719307,-3.384413271906937,7.682707461867318,Chopyk_2020_pond
Chopyk_2020_pond.sample_CONSERVE.34.MD10.SeptA,9.226875964454548,-2.94016073955047,1.0931793656912605,-1.6765440024014853,-0.5803586761460128,1.7994050160095307,0.5088146415660861,2.4068665995242804,-0.11424469924832437,-2.492643934681373,Chopyk_2020_pond
Chopyk_2020_pond.sample_CONSERVE.22C.MD10.JulyA.BRDU,10.113848261348668,-2.452916580808943,1.2107276741438247,-1.003686182307934,-0.07182609413974586,0.46915491285160477,0.44622976968735856,1.5811173652651989,-1.7622863214913427,-1.7479638153993657,Chopyk_2020_pond
Chopyk_2020_pond.sample_MA03_10-24,-11.63204361212783,4.5941159289275335,2.721075879676677,-4.6938139722480265,-7.190757758171977,13.959693163627524,3.0734649466187496,-0.8754877238193864,19.15654679478612,-12.04512186383739,Chopyk_2020_pond
Chopyk_2020_pond.sample_CONSERVE.2.MD06.MarchA,2.8906032577745586,-3.0591144854792853,3.748100083921783,1.4427721991381444,-1.5996402896009165,2.453144938982997,-0.016031079067389094,4.107276160653441,4.977677199858074,-7.722967090365065,Chopyk_2020_pond
Chopyk_2020_pond.sample_CONSERVE.30.MD10.AugustB,10.320811394659856,-2.0990913062272063,1.4431980475435233,-0.9401150224329787,-0.11760794636012067,0.7785414558475345,0.6260827532277156,1.340169575712959,-1.5340867553047333,-1.6041696982896014,Chopyk_2020_pond
Chopyk_2020_pond.sample_CONSERVE.13.MD10.JuneA.BRDU,10.109571029286897,-2.1909183317446677,1.3792792006539516,-0.7707047033766679,0.05955379692598394,0.10709957035652118,0.4019083869251832,1.6285932934488905,-1.6469966222549413,-1.7215195462023067,Chopyk_2020_pond
Chopyk_2020_pond.sample_MA05_7.16.18,7.477703150067722,-8.149263798732656,-4.2910715661003955,-7.6816739375002046,-1.766365754198723,15.312682771471831,2.7789102117324784,-6.134048194570855,-1.1188891212383123,4.4009903418901875,Chopyk_2020_pond
Chopyk_2020_pond.sample_MA05_1.23.17,5.962211149793095,-8.528022550597298,-4.2099433788023815,-5.590349952019449,-2.2236012471420903,11.310909829434209,0.7407734497271417,-4.317919607050374,1.873125348761595,1.3307162364630138,Chopyk_2020_pond
Chopyk_2020_pond.sample_MA05_10.2.17.field_viral,10.573637902991257,-1.8202754306221463,1.6251252760654946,-0.6289624021138599,0.06046942127043813,-0.009831972435240872,0.6136607719980052,1.9731932161478738,-1.778941200647003,-1.5587517559208,Chopyk_2020_pond
Chu_2017_sludge.S_FCW1,-13.691710515881658,13.440447141935644,4.129108332940295,-4.770358683344756,5.365848425189173,3.6249209548246606,6.236571564253991,10.515595127188181,3.236839674530511,14.042135683192058,Chu_2017_sludge
Chu_2017_sludge.BFP,-8.690543904715762,20.706966081463666,2.234367904760127,-9.220972112440332,18.338346106190148,-1.0346234771286642,0.07935042529477142,-6.391511455688158,-1.849725949952058,-2.9315343294597622,Chu_2017_sludge
Chu_2017_sludge.PS2,-6.056662523979198,12.099402351045176,7.366771336222062,-6.38121480198846,22.10664199741905,0.30748055972554716,-1.1469519700003368,-14.130477677538629,-4.373992346256765,-2.5870040593725925,Chu_2017_sludge
Chu_2017_sludge.M14,10.047561828613794,-3.16333608119477,2.5259110237363562,0.35237618914660906,-2.5369302614447324,-8.603189569495493,8.922819582216302,-5.081568342137135,4.087812972690631,1.849934845941982,Chu_2017_sludge
Chu_2017_sludge.S_AS1,3.648521046010325,0.9463841610482002,11.379395836226827,3.3225694555968364,17.81402146140401,2.7271857572893916,2.121428075448218,12.505891477436743,8.822545411475511,-3.530021142419869,Chu_2017_sludge
Chu_2017_sludge.M4,9.383769159759101,-3.9892446460725077,1.7422655429039262,-0.10278861095186644,-1.9847802034468784,-8.802154619891567,8.169261208702908,-4.123393579347151,3.1515359273494874,1.752013942047864,Chu_2017_sludge
Chu_2017_sludge.S2,9.238258948710204,-3.3988628484366705,2.3420074404423468,0.1652105294740811,-2.212018639762871,-8.322673460666925,8.196465595665039,-4.529728012115745,3.3001344202715264,1.9894241361373766,Chu_2017_sludge
Chu_2017_sludge.SE1,-2.7225414732796156,4.757152765575571,2.6735851483697024,-3.045432335451479,4.400926120881541,2.317372421162849,5.7906209166546745,10.679146166623976,1.4837815169600739,13.005876518214535,Chu_2017_sludge
Chu_2017_sludge.LMS41,10.626171371876232,-2.049846166167913,1.649821892740852,-0.14460475637453693,-0.8200983686588253,-2.7910233559073,3.6083690407192264,-0.07231697890774043,-0.30830624047899047,-0.8886687904507593,Chu_2017_sludge
Chu_2017_sludge.M13,9.496645767294195,-3.9240572591333973,3.0423386300589224,0.6814314704730979,-3.268737931547418,-9.903158831111607,9.9338127472147,-5.413994389222714,3.9518151199543188,1.9850638240249627,Chu_2017_sludge
Chu_2017_sludge.LMS18,10.589088932408687,-1.9891537267741137,1.6064955261996108,-0.14197236460861148,-0.6958705034293582,-2.3612223327527646,3.1355418112009756,0.22456754077351007,-0.5468641897808127,-1.0275080550513225,Chu_2017_sludge
