species,p_value,f_statistic,p_value_kw,kw_statistic,effect_size,n_samples,r_squared,p_adjusted,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf
s__Polynucleobacter_sp_AM_26B4,4.7620310824411085e-71,237.33678310917196,9.735840602581001e-21,100.02100910483308,12.00811371702479,187,0.8391298348827652,2.7326732211546666e-69,True,8.64635367800646e-20,True,70.32220777422123,68.5634122990554,3.552475187501067e-68,True
s__Limnohabitans_sp_63ED37_2,6.644422577198878e-71,236.30120357335127,9.14939220064511e-21,100.14774513674443,13.126317552539579,187,0.8385386597961899,3.5405280304216885e-69,True,8.52853834998553e-20,True,70.17754275474117,68.45093196294674,4.9567392425903635e-68,True
s__GGB46527_SGB64388,3.57668755420001e-69,224.19924366971048,7.92598604892429e-21,100.44055136265933,11.554354549564493,187,0.8312935572940576,1.7788059436221385e-67,True,8.336235487789479e-20,True,68.44651899650563,66.74987142808864,2.668208915433208e-66,True
s__GGB38373_SGB52357,7.500089650692094e-66,202.40998814350652,1.0738549736763365e-20,99.82103283669302,10.44505822362793,187,0.816465644080215,3.4969167996351884e-64,True,9.424656592500553e-20,True,65.12493354533254,63.4563147005158,5.595066879416301e-63,True
s__Limnohabitans_sp_2KL_27,2.797373869420663e-56,148.95110266005344,1.9973114015358374e-21,103.25137873492784,11.44696668169532,187,0.7660080124125355,1.2275534744634202e-54,True,3.1041548032202807e-20,True,55.55324948622929,53.91095958013489,2.0868409065878145e-53,True
s__Candidatus_Fonsibacter_ubiquis,1.3672021972619024e-53,136.1173775682572,7.788887155678472e-21,100.47614360868421,11.757908248237785,187,0.749473312470335,5.666293550874329e-52,True,8.336235487789479e-20,True,52.86416725232217,51.24670092995281,1.0199328391573792e-50,True
s__GGB24856_SGB81948,6.505106756515656e-53,133.0195753963899,9.488856341136715e-21,100.07342823582013,11.947600013380267,187,0.7451259902508142,2.5541103370319367e-51,True,8.52853834998553e-20,True,52.186745571756475,50.592760345236634,4.85280964036068e-50,True
s__Polynucleobacter_sp_MWH_CaK5,2.9186508417180247e-52,130.08801525571153,1.478767509119143e-21,103.86417540795112,12.145883964452201,187,0.7408706970476451,1.0886567639608232e-50,True,2.690635516592392e-20,True,51.5348178565656,49.96310902475692,2.1773135279216466e-49,True
s__Limnohabitans_parvus,3.284773439623993e-50,121.17253881677044,1.4533684532922978e-17,85.08766136006604,12.333470223205799,187,0.7270096182429915,1.1668766599807135e-48,True,4.4988085732616354e-17,True,49.483494579624534,47.93297504688579,2.450440985959499e-47,True
s__GGB23683_SGB35384,3.914352553420406e-42,90.23591122159684,9.17932774929169e-21,100.14108162211147,8.696542747505859,187,0.6647902563845571,1.327321365841647e-40,True,8.52853834998553e-20,True,41.407340061378655,39.8770239147282,2.920107004851623e-39,True
