species,p_value_original,f_statistic_original,p_value_kw,kw_statistic,effect_size_original,n_samples_original,r_squared,p_adjusted_original,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf,significant_original,f_statistic_balanced,p_value_balanced,effect_size_balanced,n_samples_balanced,p_adjusted_balanced,significant_balanced,log_p_original,log_p_balanced
s__Aliarcobacter_cryaerophilus,6.015627580077583e-36,85.60902116285116,1.8794210035572884e-11,52.94945534462874,11.092719459595054,209,0.5561108990636687,9.21854280514592e-35,True,2.9766248855222976e-11,True,35.22071905820825,34.03533772338234,3.4108608379039894e-33,True,True,16.599618127717576,2.3399269643727235e-07,10.630631220646103,48,2.3691760514273825e-06,True,35.22071905820825,6.630797697916747
s__Flavobacterium_sp_GENT11,1.8967878799789236e-35,83.88729419360104,2.8659464241437687e-17,80.13877857999137,13.774402595221389,209,0.5510901876866705,2.8302071788106574e-34,True,9.393015158898941e-17,True,34.72198123405892,33.548181771782815,1.0754787279480496e-32,True,True,50.46930283952447,2.713393403604913e-14,13.628828696087416,48,3.6630810948666327e-13,True,34.721981234058916,13.566487235125782
s__Bacteroides_graminisolvens,1.0450497871488978e-33,78.02516798240423,1.1342735368027002e-08,39.87186168022904,9.85639848431468,209,0.5331099135408706,1.519341613624167e-32,True,1.5534615830123942e-08,True,32.98086301886492,31.818344566998505,5.92543229313425e-31,True,True,12.995169960323913,3.2742789151914853e-06,10.108964746510114,48,2.812903249869049e-05,True,32.980863018864916,5.48488432853763
s__beta_proteobacterium_CB,3.010984241727846e-33,76.51558406463893,1.2054440673923144e-14,67.89388270493276,12.945003246952696,209,0.5282440865913581,4.268070162649222e-32,True,2.4764013993168203e-14,True,32.52129151740273,31.36976844983779,1.7072280650596887e-30,True,True,50.89671021045053,2.3518607970261892e-14,12.799429347818721,48,3.252451394911828e-13,True,32.52129151740273,13.628588387048483
s__Polynucleobacter_yangtzensis,1.4964241401233055e-31,71.07597599743536,1.3790316759888552e-14,67.62090075064887,12.494569040529797,209,0.5098366553756992,2.0694450913412546e-30,True,2.822783250128812e-14,True,30.82494529443415,29.684146092260978,8.484724874499144e-29,True,True,30.301546362450935,8.812668209422649e-11,11.946400236339295,48,1.1103961943872537e-09,True,30.82494529443415,10.054892580442885
s__Polynucleobacter_sp_30F_ANTBAC,2.754560567707669e-31,70.24470510015084,1.7874977444872145e-19,90.41115029521312,10.513642781358069,209,0.5068963732941528,3.718656766405353e-30,True,7.980403315938981e-19,True,30.559947673850825,29.42961390535582,1.5618358418902482e-28,True,True,37.852986677788174,2.9900107416629166e-12,10.368068882224097,48,3.942642070983427e-11,True,30.559947673850825,11.524327251462676
s__Sphingorhabdus_lacus,1.6546493036312766e-29,64.7909203800462,7.411333289594851e-16,73.54973992169653,9.320064011962652,209,0.4866950880306377,2.1818282678114733e-28,True,1.660958883478372e-15,True,28.781294039131097,27.66117943581778,9.381861551589335e-27,True,True,18.94743415894053,4.891342537690144e-08,9.25931165453459,48,5.232813620510022e-07,True,28.781294039131097,7.310571922740016
s__Polynucleobacter_sp_78F_HAINBA,6.978373732001827e-29,62.925272308173895,8.314306979745762e-15,68.64752249099234,10.442005226851904,209,0.4793992134887906,8.992586150102357e-28,True,1.7524951886676012e-14,True,28.156245775300675,27.04611539289396,3.956737906045037e-26,True,True,25.863767184247948,8.448478520825243e-10,9.761306060157409,48,9.979765252724818e-09,True,28.156245775300675,9.073221495725468
s__GGB26186_SGB38199,1.076309649186774e-28,62.36866570296284,2.675015809004814e-28,131.4187089218719,8.777781322516253,209,0.4771821866752238,1.3561501579753353e-27,True,6.96544453818428e-27,True,27.96806276622836,26.867692221110797,6.102675710889009e-26,True,True,36.47907951009008,5.330973409200857e-12,8.632207423382281,48,6.869686188674741e-11,True,27.968062766228357,11.27319348372267
s__Acidovorax_temperans,1.7807950882252455e-28,61.72479706940887,2.206569804672372e-08,38.50781224198127,7.996538349096496,209,0.4745939133391345,2.1950235109211183e-27,True,2.9577425041353072e-08,True,27.74938605087528,26.658560823663944,1.0097108150237144e-25,True,True,7.042666884166015,0.000572890059444977,6.911597937959683,48,0.002165524424702013,True,27.749386050875277,3.2419287133860095
s__Comamonas_denitrificans,1.6814033370371354e-27,58.89180732496317,1.0578306623780848e-10,49.42748655286122,8.625134826507635,209,0.4628944170958774,2.0284163661703314e-26,True,1.6037165389528718e-10,True,26.77432809498513,25.692842894027937,9.533556921000558e-25,True,True,8.788633901524177,0.00011137350534331814,7.481384794512374,48,0.0006540916464888701,True,26.774328094985126,3.9532181112424305
s__Aeromonas_sobria,9.671993243805756e-26,53.93211318426,2.9034359002336524e-15,70.78145767809667,8.199927582571902,209,0.4411067453673386,1.1425042019245551e-24,True,6.235788467547277e-15,True,25.014484015515656,23.94214219399834,5.484020169237864e-23,True,True,25.131228488317557,1.2557869338534573e-09,7.819407469813869,48,1.4531248806018577e-08,True,25.014484015515656,8.901084039978787
s__GGB40645_SGB64801,3.1117236870041934e-25,52.5376751174833,4.172594365997072e-15,70.04601136336936,9.258907390230757,209,0.4346590285863405,3.6007088378191385e-24,True,8.860902642398277e-15,True,24.506998974194268,23.44361199532988,1.7643473305313777e-22,True,True,12.515101883865727,4.768675497345015e-06,8.907145486508592,48,4.035580607454662e-05,True,24.506998974194268,5.321602229779881
s__Pseudomonas_aeruginosa,9.538080885000722e-25,51.21573025848056,1.1471525643537608e-17,81.99233169178484,7.102964570663117,209,0.4284076237798953,1.081618372359082e-23,True,3.9660701462718436e-17,True,24.020538998974857,22.965925944417968,5.408091861795409e-22,True,True,9.861575759001758,4.296940224265685e-05,6.64870062713001,48,0.0002863773760029737,True,24.020538998974857,4.366840687845567
s__GGB26682_SGB64469,1.4524583937100371e-24,50.72308976465613,1.1702704526627745e-29,137.72349786825862,10.962980427266768,209,0.4260424464701789,1.614791978889394e-23,True,5.529527888831609e-28,True,23.837896299310053,22.791883416515084,8.235439092335909e-22,True,True,12.080027186484458,6.7415031813444105e-06,8.758049014106511,48,5.539756962061277e-05,True,23.837896299310053,5.171243256198155
s__GGB26464_SGB38629,1.6832917576342646e-24,50.55078701724504,1.6021794539834528e-19,90.63244641055844,8.34829091881062,209,0.4252105905160034,1.8354354357281312e-23,True,7.267486003268942e-19,True,23.77384060312754,22.73626088786943,9.544264265786281e-22,True,True,69.63003116520987,9.613606336041869e-17,8.198465889197147,48,1.5141429979265943e-15,True,23.77384060312754,16.01711366560503
s__Candidatus_Saccharimonas_aalborgensis,3.969615960295202e-24,49.55342114228896,1.9897854211841e-18,85.53736506403854,7.414807487231376,209,0.4203476579087269,4.2467400933724144e-23,True,7.521388892075898e-18,True,23.401251506937697,22.37194431764558,2.25077224948738e-21,True,True,10.164430149659703,3.306973516024841e-05,7.269233588097405,48,0.00024039153635719036,True,23.401251506937697,4.48056928312994
s__GGB75611_SGB103138,7.229666692740973e-24,48.86134406641019,1.7445064015874728e-21,99.76663544104838,10.865137105972988,209,0.416924600592118,7.591150027378023e-23,True,1.0869616809891175e-20,True,23.140881724398422,22.119692425328488,4.0992210147841314e-21,True,True,60.459260541395146,1.1966936640299826e-15,10.719563206839014,48,1.7398084807820516e-14,True,23.140881724398426,14.922017008363914
s__Jeotgalibaca_porci,9.549132053172804e-24,48.54148996639668,1.9926074554722974e-17,80.87460875308436,7.969106195756723,209,0.415328884321905,9.84428704390724e-23,True,6.725050162219004e-17,True,23.02003610084012,22.006815731441453,5.414357874148981e-21,True,True,7.334876814189307,0.00043206847714358525,6.19418202483049,48,0.0017252311728198086,True,23.020036100840116,3.3644474177942723
s__Fluviibacter_phosphoraccumulans,1.2018932362578577e-23,48.27771814213639,6.784810547402143e-08,36.202657175043726,11.147677800383567,209,0.4140063701620261,1.216916901711081e-22,True,8.803175241137336e-08,True,22.92013410884193,21.91473907695522,6.814734649582054e-21,True,True,16.522177143424287,2.468633041318847e-07,10.934766251581177,48,2.455640235838222e-06,True,22.92013410884193,6.607543462508183
s__GGB24407_SGB36248,1.718987728989704e-23,47.86856009913771,3.621535316981971e-32,149.3596830505975,11.236019105350003,209,0.4119430302308784,1.709940425152916e-22,True,1.1463894665399564e-29,True,22.764727223517184,21.767019020296768,9.74666042337162e-21,True,True,16.902399982837675,1.9002590812428292e-07,10.206267262886962,48,1.9589943619357893e-06,True,22.764727223517184,6.721187183319036
s__Arcobacter_acticola,2.674886108677108e-23,47.36492346642274,1.3501081943885129e-10,48.92982651968808,7.60536632474758,209,0.4093832074617962,2.614931764861931e-22,True,2.0359344314316136e-10,True,22.572694704643148,21.58253963931318,1.5166604236199202e-20,True,True,6.409976406727825,0.0010674755575728805,6.0550301009837355,48,0.0032366772253680388,True,22.572694704643148,2.971642060408561
s__Phycicoccus_elongatus,2.9739646299273615e-23,47.244520254715816,4.270339241809737e-19,88.65015274094011,6.549610191752194,209,0.4087679325064136,2.858030415540363e-22,True,1.7419297482777846e-18,True,22.52666420095149,21.54393315370073,1.686237945168814e-20,True,True,9.66252342634022,5.1123285884217536e-05,6.404036292618223,48,0.0003263952544979069,True,22.526664200951494,4.291381240226764
s__GGB46437_SGB64294,3.7210640899150864e-23,46.99033357417206,1.9897854211841e-18,85.53736506403854,6.236869683366428,209,0.4074647887485262,3.516405564969757e-22,True,7.521388892075898e-18,True,22.429332849823464,21.4539010413142,2.109843338981854e-20,True,True,9.927374853961314,4.0582607497317654e-05,6.0912957842324555,48,0.00027393260060689414,True,22.429332849823464,4.391660052292424
s__Cloacibacterium_caeni,4.6223320240787e-23,46.74486363457773,0.0001934267969364,19.72619531318684,6.646258917214901,209,0.4062008692021156,4.296495504348563e-22,True,0.0002154675714399,True,22.335138862178788,21.366885638296647,2.6208622576526222e-20,True,True,5.830984651816422,0.0019136552842045984,7.228162915564578,48,0.005237908696702717,True,22.335138862178788,2.718136291037116
s__GGB47408_SGB102670,7.162914335618919e-23,46.2506918795502,1.9897854211841e-18,85.53736506403854,5.936426165443276,209,0.4036399645903684,6.550600690799883e-22,True,7.521388892075898e-18,True,22.14491024272529,21.18371887333064,4.061372428295927e-20,True,True,9.849147681505668,4.343642740080377e-05,5.7908522663093045,48,0.0002863773760029737,True,22.14491024272529,4.362145902201951
s__GGB41936_SGB59041,7.395999284202394e-23,46.21464622838494,7.289580091754595e-06,26.557304819530508,7.881256520699461,209,0.4034523036129552,6.656399355782156e-22,True,8.557333151190176e-06,True,22.131003139544635,21.17676063010531,4.1935315941427575e-20,True,True,7.340199432846048,0.000429867120247388,8.004735219637954,48,0.0017252311728198086,True,22.131003139544635,3.366665772006087
s__Aeromonas_media,1.1796348933820496e-22,45.69040255079912,0.0003383517991643,18.55203974225908,7.980340892434578,209,0.4007095732876914,1.0450827883556597e-21,True,0.0003746981838402,True,21.92825238957976,20.98084930467074,6.688529845476221e-20,True,True,5.341573970538228,0.003168453591061658,7.80141893552901,48,0.007548374731646891,True,21.92825238957976,2.49915264968548
s__Aquaspirillum_sp_LM1,2.786165072128472e-22,44.731438428730144,4.880242932303499e-10,46.306890721208944,7.70533359151424,209,0.3956266636513819,2.430393224456683e-21,True,7.113361806211013e-10,True,21.55499315647244,20.61432345422239,1.5797555958968437e-19,True,True,13.929590098494089,1.6028405533674278e-06,7.293429713215503,48,1.442556498030685e-05,True,21.55499315647244,5.795109678043123
s__Escherichia_coli,8.172308466667419e-22,43.54192712285529,7.872941521168154e-06,26.397716496131125,7.970263553280772,209,0.3892006771229527,7.020755910000646e-21,True,9.223053393599884e-06,True,21.08765524913171,20.153616125780676,4.633698900600428e-19,True,True,6.241559355194326,0.0012632319516410453,7.073096367203776,48,0.003789695854923136,True,21.08765524913171,2.898516898004591
s__GGB61782_SGB83906,7.753731947184932e-21,41.09427293242669,4.742131299702733e-10,46.3655213267113,7.773404514151527,209,0.3755384434949951,6.561740319483368e-20,True,6.929867131266624e-10,True,20.110489216982494,19.182980960790413,4.396366014053856e-18,True,True,19.122001376382,4.3726073179646117e-08,8.120311213995896,48,4.7678237486267976e-07,True,20.110489216982494,7.359259522723412
s__Deefgea_tanakiae,1.8958116017686463e-20,40.13630939471576,1.5549432299304064e-19,90.69295116348502,7.007310871606906,209,0.3700234313055125,1.5807723208865036e-19,True,7.110103317504359e-19,True,19.72220482331527,18.8011306771286,1.0749251782028225e-17,True,True,25.00158275012834,1.3480451942210636e-09,6.861736972472935,48,1.5286832502466862e-08,True,19.72220482331527,8.870295547510043
s__GGB23780_SGB65296,2.6895085585558932e-20,39.76383798219393,1.933304895717952e-06,29.30374921694796,6.676162082563844,209,0.3678527152771311,2.210074424204625e-19,True,2.293271706845353e-06,True,19.570327069367757,18.6555931012121,1.5249513527011914e-17,True,True,6.805866231619365,0.0007218098412500003,6.7970380437702715,48,0.0023521044826939667,True,19.570327069367753,3.1415772010082463
