species,f_statistic,p_value,effect_size,n_samples,p_adjusted,significant
s__GGB42932_SGB60155,3.9592359439411333,0.0067923885115661,4.172817061889386,60,0.0088846209815062,True
s__actinobacterium_SCGC_AAA041_L13,3.906315637101938,0.007309028636926517,1.7986128264588956,60,0.009539706207936559,True
s__GGB44798_SGB62263,3.897416829860469,0.0073997658263835284,4.9851483787239825,60,0.0096372760114671,True
s__Methylophilaceae_bacterium_LSUCC0268,3.8884773874304708,0.007492075077460337,3.50452107460722,60,0.009736468257992636,True
s__GGB45699_SGB63416,3.8797029629398905,0.00758382323232795,2.7579861031079953,60,0.0098345062561156,True
s__Simplicispira_SGB61893,3.872796530512298,0.007656844842397943,5.631902743253939,60,0.009907891502072875,True
s__GGB43047_SGB60287,3.8612617600578254,0.007780405212754542,3.5143064644630684,60,0.010046219150516036,True
s__GGB2275_SGB136518,3.857835394574632,0.007817498883008582,4.516964929063834,60,0.010072546637722597,True
s__Arcobacter_caeni,3.8353261429341203,0.00806571034971517,3.811235494149826,60,0.010359355168746816,True
s__GGB24641_SGB36504,3.834545985179833,0.008074455935839144,2.7700659968075865,60,0.010359355168746816,True
s__GGB15867_SGB24119,3.832489899709426,0.008097551064719627,2.7706225297583496,60,0.010366928433176083,True
s__Pseudanabaena_sp_lw0831,3.7706383852279215,0.008824725379055815,3.7092571172563362,60,0.01126237420209981,True
s__Simplicispira_metamorpha,3.76985640452566,0.008834333329341974,3.7269061326435162,60,0.01126237420209981,True
s__Acinetobacter_parvus,3.7624896765641367,0.0089253710686003,5.625036803434174,60,0.011354427751826964,True
s__GGB43144_SGB60398,3.7552934147723773,0.009015225636759175,3.5538731659509435,60,0.011444591703085857,True
s__GGB46175_SGB63943,3.7517868380795023,0.009059343322609239,2.792932778225628,60,0.01147643702422977,True
s__Pseudanabaena_sp_UWO311,3.7000091210650865,0.009736999339411835,3.7706289607427927,60,0.012309036900765903,True
s__Pseudomonas_brenneri,3.6864444399667287,0.009922922166358346,3.155101483933948,60,0.012517828590615237,True
s__GGB44548_SGB61987,3.6796306301240578,0.010017675434538412,5.581221607361036,60,0.012605702957013213,True
s__Aestuariivirga_litoralis,3.678435452397481,0.010034390413542855,4.899682391714769,60,0.012605702957013213,True
s__Alistipes_putredinis,3.6489803744001765,0.010455429870629505,5.602004572236101,60,0.013107326844053203,True
s__Streptococcus_thermophilus,3.641785179828346,0.010560986776902665,5.127116317547888,60,0.013212188851602297,True
s__Candidatus_Cloacimonas_acidaminovorans,3.639137875483904,0.010600096491445329,5.1352916979751555,60,0.013233660837146033,True
